OTUId	B1_M2_1	B1_M4_1	B1_M2_3	B1SM2	B1SM5	B1SM12
Root569	2196	12540	2969	1035	4586	7821
Root179	1813	4144	1557	303	1169	2973
Root491	5156	10511	2806	1511	627	778
Root61	5709	6789	2457	674	261	275
Root685	1648	1111	788	188	0	671
Root916	27576	25556	9262	3030	299	1273
Root149	6646	19908	2767	1567	550	723
Root68	727	3702	516	103	2382	2422
Root154	770	2188	693	206	276	455
Root1433D1	6238	7006	2736	710	287	379
Root1252	915	3039	1319	254	58	67
Root70	5046	5694	1741	248	675	1294
Root102	384	1531	241	77	77	95
Root11	37	174	62	12	1	0
Root480	0	9604	3	0	0	1
Root381	0	8	3	2	1	1
Root935	25	18	385	4	6	4
Root1471	243	610	179	33	76	134
Root123D2	2533	4721	1100	370	229	352
Root186	0	2	2	12	6	1
Root670	1043	1752	387	95	80	128
Root22	717	2551	909	323	18	40
Root53	141	198	123	38	0	0
Root1212	0	80	4	2	0	0
Root101	232	362	167	67	4	3
Root1203	99	174	0	95	0	13
Root181	106	220	102	31	8	5
Root630	7	17	13	23	3	6
Root318D1	0	1	35	1	0	1
Root1277	64	89	14	9	5	8
Root564	2	1	35	0	2	1
Root170	4	4	59	1	0	1
Root1240	0	0	0	0	0	0
Root100	3	9	3	2	0	1
Root217	57	32	49	2	8	15
Root198D2	1	0	0	0	1	0
Root172	3	31	3	0	2	3
Root122	11	15	7	1	0	2
Root1280	7	22	6	0	0	2
Root1238	0	0	0	0	0	1
Root482	0	0	16	0	0	0
Root1293	0	5	0	0	0	0
Root190	0	0	0	0	0	0
Root1310	0	0	0	0	0	1
Root1304	0	0	0	0	0	0
Root151	0	0	0	0	0	1
