OTUId	B1_M2_1	B1_M4_1	B1_M2_S3	B1_M2_3	B1SM5	B1SM12	B1SM2	B1_M3_S4	B1_M1
016	120886	43218	51311	162839	79764	55131	203566	27712	1
216	92134	23880	45408	75345	81690	117076	94547	65254	0
001	30551	7382	43161	11020	54671	138019	31712	40564	0
147	13437	5081	6524	9499	1886	10563	24863	3838	0
013	44801	9208	16753	25832	47644	59430	30181	38739	1
104	23264	106760	305	53360	112	2262	57106	1901	0
201	14060	2983	806	4219	603	308	12010	634	0
233	16564	5931	7618	8114	13140	10107	23348	4386	0
226	4885	1511	2683	4154	4097	6098	5484	5552	0
243	6033	1442	219	3002	616	343	6547	204	0
134	14557	1764	5211	3859	7129	3670	10771	2833	0
021	1256	278	375	336	968	1137	1498	444	0
026	469	231	973	612	968	1999	1000	895	0
135	226	190	40	55	34	8	301	115	0
023	311	175	188	344	433	428	442	326	0
113	228	68	141	194	378	607	232	216	0
230	131	20	73	42	30	15	116	46	0
009	0	0	0	0	0	0	4	0	0
235	2	3	1	0	0	0	5	6	0
241	0	0	2	3	0	1	3	0	0
131	0	1	0	0	0	0	0	0	0
