"Strain" "NumReads_A.sf" "NumReads_B.sf" "NumReads_Bpre.sf" "NumReads_C.sf" "NumReads_D.sf" "NumReads_E.sf"
"Chafu1" "Chafu1" "185" "31" "630" "167" "151" "8"
"Chame1" "Chame1" "63" "19.662" "1129" "1" "2" "439"
"Cylol1" "Cylol1" "95" "2255" "1282.605" "684" "11" "555"
"Daces1" "Daces1" "367" "1492.655" "1065" "1085" "14" "1115.19"
"Dacma1" "Dacma1" "194" "603" "10168.411" "5614.924" "1733" "3630"
"Denna1" "Denna1" "3640" "2200" "13548.169" "4551" "3842" "1733"
"Fusarium13" "Fusarium13" "8783.288" "28123.667" "9393.046" "22146.793" "4974.145" "6307.837"
"Fusarium216" "Fusarium216" "17634.534" "17609.198" "12813.373" "22734.068" "6764.318" "9694.626"
"Fusarium226" "Fusarium226" "8172.569" "24097.039" "8594.57" "17259.493" "3273.873" "4547.489"
"Fusarium233" "Fusarium233" "394.522" "1254.839" "29041.878" "1064.001" "501.248" "1426.503"
"Fuseq1" "Fuseq1" "7122.56" "10724.362" "13334.756" "8176.844" "2600.259" "5012.5"
"Fusre1" "Fusre1" "11460.612" "14277.033" "6821.812" "15628.348" "2964.015" "3945.184"
"Fusven1" "Fusven1" "314" "1690.995" "13868.793" "216" "1295.987" "4000"
"Ilyeu1" "Ilyeu1" "1781.837" "1317.008" "660" "4357.372" "72" "1387"
"Mictri1" "Mictri1" "35" "184" "235" "98.931" "224" "151"
"Morel_U14_1" "Morel_U14_1" "155" "225" "25327.001" "10652" "15433" "30132"
"Neora1" "Neora1" "5720.163" "7591.001" "7460.593" "4564.628" "536" "3779"
"Plecto143" "Plecto143" "25909.494" "91479.977" "203199.441" "30271.838" "110500.473" "39524.765"
"Plecuc1" "Plecuc1" "30006.807" "103719.978" "129249.972" "43231.445" "63455.237" "34584.233"
"Stael1" "Stael1" "71" "219" "617" "360" "228" "619"
"Verdah1" "Verdah1" "27486" "34532.523" "17483.62" "56097.002" "3649.001" "5213"
"Zalva1" "Zalva1" "1779" "1730" "14436.831" "1575" "5811" "4410"
