Strain	Kingdom	Phylum	Class	Order	Family	Genus	Species	
Root100	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae		Root100	Root100
Root101	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	Root101	Root101
Root102	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Mesorhizobium	Root102	Root102
Root105	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae		Root105	Root105
Root107	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae		Root107	Root107
Root11	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Root11	Root11
Root112D2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae		Root112D2	Root112D2
Root1203	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Root1203	Root1203
Root1204	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Root1204	Root1204
Root1212	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Root1212	Root1212
Root1217	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Root1217	Root1217
Root122	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Root122	Root122
Root1220	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Root1220	Root1220
Root1221	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Root1221	Root1221
Root1237	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Root1237	Root1237
Root1238	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Root1238	Root1238
Root123D2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Afipia	Root123D2	Root123D2
Root1240	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Root1240	Root1240
Root1252	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Root1252	Root1252
Root1257	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Root1257	Root1257
Root127	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Sinorhizobium	Root127	Root127
Root1272	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		Root1272	Root1272
Root1277	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		Root1277	Root1277
Root1279	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Root1279	Root1279
Root1280	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Root1280	Root1280
Root1290	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae		Root1290	Root1290
