"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"OG0000000",0.155737091248346,0.0216829792093281,1.01232882876119,0.358227956648987,0.449121617291267
"OG0000001",105.900301718881,-0.221441578254199,1.05667247511969,0.000540511225086341,0.00189178928780219
"OG0000002",0,NA,NA,NA,NA
"OG0000003",167.375843200972,-0.221496666724099,1.05671124859817,1.39724121500249e-13,3.75794938065922e-12
"OG0000004",136.633341388549,-0.221495027741508,1.05670999488812,2.43069110120594e-13,4.37105088334155e-12
"OG0000005",0.353004073496251,0.0449232828732597,1.0095776280442,0.536448532070571,0.600822355919039
"OG0000006",3.41583353471372,-0.220928593943362,1.05631425801398,0.0177257935111152,0.0316801415943335
"OG0000007",11.6890538771563,-0.226756647373875,1.02740616924436,0.370806508026851,0.461448098877858
"OG0000008",0,NA,NA,NA,NA
"OG0000009",71.9505361567359,-0.219771606421161,1.05550773143042,0.0256538255091065,0.0439779865870397
"OG0000010",18.8154708691918,-0.265268001288127,1.04563354632048,NA,NA
"OG0000011",27.4402139907751,-0.219072055453672,1.05502411391602,0.036289778023192,0.0615826536151137
"OG0000012",0,NA,NA,NA,NA
"OG0000013",0,NA,NA,NA,NA
"OG0000014",0,NA,NA,NA,NA
"OG0000015",126.666167548655,-0.220244758612201,1.05583652817353,0.0183965000277397,0.0325327579437923
"OG0000016",0,NA,NA,NA,NA
"OG0000017",0.0207649454997795,-0.00583354100359169,1.01764075568671,0.103293434367629,0.152221903278612
"OG0000018",0,NA,NA,NA,NA
"OG0000019",0.436063855495369,0.0524361702908206,1.00910776547621,0.588962378175601,0.630227258175165
"OG0000020",23.443623469251,-0.154879143515858,1.01850935804561,NA,NA
"OG0000021",78.7010236034923,-0.220503114262261,1.0560166499005,0.0147328202961518,0.0316801415943335
"OG0000022",102.475006041412,-0.221491534279774,1.05670754298883,0.000217582060938167,0.00121845954125374
"OG0000023",0,NA,NA,NA,NA
"OG0000024",0,NA,NA,NA,NA
"OG0000025",0,NA,NA,NA,NA
"OG0000026",0,NA,NA,NA,NA
"OG0000027",0,NA,NA,NA,NA
"OG0000028",0.0766372908429361,0.00811035270364262,1.01470747323664,0.24204832899036,0.322731105320479
"OG0000029",0,NA,NA,NA,NA
"OG0000030",0,NA,NA,NA,NA
"OG0000031",6.83166706942745,-0.221267189009528,1.05654995254621,0.00883773141243199,0.020064038882278
"OG0000032",0.878167514850048,0.0809598484891531,1.00905287316375,NA,NA
"OG0000033",0,NA,NA,NA,NA
"OG0000034",0,NA,NA,NA,NA
"OG0000035",0,NA,NA,NA,NA
"OG0000036",0,NA,NA,NA,NA
"OG0000037",0,NA,NA,NA,NA
"OG0000038",133.217507853835,-0.221494775194825,1.05670981183624,2.60181600198902e-13,4.37105088334155e-12
"OG0000039",0,NA,NA,NA,NA
"OG0000040",0,NA,NA,NA,NA
"OG0000041",30.7425018124235,-0.221458278074437,1.05668419335591,0.00120774873519878,0.00362324620559635
"OG0000042",0,NA,NA,NA,NA
"OG0000043",0,NA,NA,NA,NA
"OG0000044",0,NA,NA,NA,NA
"OG0000045",0,NA,NA,NA,NA
"OG0000046",0,NA,NA,NA,NA
"OG0000047",0,NA,NA,NA,NA
"OG0000048",340.494258701634,-0.231473322057273,1.05871807437429,NA,NA
"OG0000049",0.332239127996471,0.0429270226018253,1.00974357851178,0.521837395919782,0.596385595336893
"OG0000050",116.304459744265,-0.220686326502236,1.05614427463203,0.0116384382266275,0.0260701016276456
"OG0000052",0,NA,NA,NA,NA
"OG0000053",0,NA,NA,NA,NA
"OG0000054",0,NA,NA,NA,NA
"OG0000055",0.145354618498456,0.0200033093709509,1.01257934910285,0.345180777652988,0.436017824403775
"OG0000056",0,NA,NA,NA,NA
"OG0000057",0,NA,NA,NA,NA
"OG0000058",0,NA,NA,NA,NA
"OG0000059",0.332239127996471,0.0429270226018253,1.00974357851178,0.521837395919782,0.596385595336893
"OG0000060",0.103824727498897,0.0132007679577549,1.01378460256193,0.286139695343151,0.369780529366534
"OG0000061",0,NA,NA,NA,NA
"OG0000062",0,NA,NA,NA,NA
"OG0000063",0,NA,NA,NA,NA
"OG0000064",0,NA,NA,NA,NA
"OG0000065",0,NA,NA,NA,NA
"OG0000067",0,NA,NA,NA,NA
"OG0000068",0,NA,NA,NA,NA
"OG0000069",0,NA,NA,NA,NA
"OG0000070",0,NA,NA,NA,NA
"OG0000071",0,NA,NA,NA,NA
"OG0000072",30.7425018124235,-0.221458278074437,1.05668419335591,0.00120774873519878,0.00362324620559635
"OG0000073",0,NA,NA,NA,NA
"OG0000076",0,NA,NA,NA,NA
"OG0000077",0,NA,NA,NA,NA
"OG0000078",0,NA,NA,NA,NA
"OG0000079",0,NA,NA,NA,NA
"OG0000080",0,NA,NA,NA,NA
"OG0000081",0,NA,NA,NA,NA
"OG0000082",0,NA,NA,NA,NA
"OG0000083",0,NA,NA,NA,NA
"OG0000084",1.21115427269628,0.0955273087473795,1.01008249472995,NA,NA
"OG0000085",0,NA,NA,NA,NA
"OG0000086",0,NA,NA,NA,NA
"OG0000087",0,NA,NA,NA,NA
"OG0000088",0,NA,NA,NA,NA
"OG0000089",0,NA,NA,NA,NA
"OG0000091",0.0103824727498897,-0.0101372114441823,1.01837357111162,0.058287154471224,0.087430731706836
"OG0000092",0.218031927747684,0.0301761854827551,1.01110138989428,0.426378394963565,0.519069350390427
"OG0000093",0,NA,NA,NA,NA
"OG0000094",0,NA,NA,NA,NA
"OG0000098",0.425681382745479,0.0514621038110058,1.00914566359211,0.582853411783591,0.630227258175165
"OG0000100",0,NA,NA,NA,NA
"OG0000102",0,NA,NA,NA,NA
"OG0000103",0,NA,NA,NA,NA
"OG0000104",0,NA,NA,NA,NA
"OG0000105",0,NA,NA,NA,NA
"OG0000106",0,NA,NA,NA,NA
"OG0000107",0,NA,NA,NA,NA
"OG0000108",0,NA,NA,NA,NA
"OG0000110",0,NA,NA,NA,NA
"OG0000111",0,NA,NA,NA,NA
"OG0000112",0,NA,NA,NA,NA
"OG0000113",0,NA,NA,NA,NA
"OG0000114",0,NA,NA,NA,NA
"OG0000115",0,NA,NA,NA,NA
"OG0000116",0,NA,NA,NA,NA
"OG0000117",71.781671227347,-0.272903409445757,1.06247024374095,0.179269890481053,0.244856435778999
"OG0000118",0,NA,NA,NA,NA
"OG0000119",0,NA,NA,NA,NA
"OG0000120",0,NA,NA,NA,NA
"OG0000121",0,NA,NA,NA,NA
"OG0000122",0,NA,NA,NA,NA
"OG0000123",0,NA,NA,NA,NA
"OG0000124",0,NA,NA,NA,NA
"OG0000126",0.300171379752352,0.0396357006694253,1.01003831925708,0.497857387795348,0.585726597826515
"OG0000127",0.311474182496692,0.0390435032422698,1.00982517116483,0.506515545285006,0.586859390399179
"OG0000128",0,NA,NA,NA,NA
"OG0000129",0,NA,NA,NA,NA
"OG0000130",0,NA,NA,NA,NA
"OG0000131",0,NA,NA,NA,NA
"OG0000132",0,NA,NA,NA,NA
"OG0000134",0,NA,NA,NA,NA
"OG0000135",0,NA,NA,NA,NA
"OG0000136",0,NA,NA,NA,NA
"OG0000137",0,NA,NA,NA,NA
"OG0000140",0,NA,NA,NA,NA
"OG0000141",0,NA,NA,NA,NA
"OG0000142",24.5130181624897,-0.207485240152433,1.04729339277293,0.158620771629848,0.222636718165594
"OG0000143",0,NA,NA,NA,NA
"OG0000144",48.1019962502391,-0.218170459372276,1.0544021349887,0.0481287552717024,0.0792708910357452
"OG0000145",0,NA,NA,NA,NA
"OG0000146",0,NA,NA,NA,NA
"OG0000147",95.6433389719842,-0.221490203793502,1.05670673038432,0.000240976843980177,0.00125630577488715
"OG0000148",0,NA,NA,NA,NA
"OG0000149",0,NA,NA,NA,NA
"OG0000150",0,NA,NA,NA,NA
"OG0000151",0,NA,NA,NA,NA
"OG0000152",0,NA,NA,NA,NA
"OG0000153",0,NA,NA,NA,NA
"OG0000154",0,NA,NA,NA,NA
"OG0000155",0,NA,NA,NA,NA
"OG0000156",0,NA,NA,NA,NA
"OG0000158",0,NA,NA,NA,NA
"OG0000160",0,NA,NA,NA,NA
"OG0000163",68.5035552037725,-0.219942077963007,1.05562558069356,0.0231689807443427,0.0403865559848723
"OG0000164",0,NA,NA,NA,NA
"OG0000165",0,NA,NA,NA,NA
"OG0000166",0,NA,NA,NA,NA
"OG0000167",0,NA,NA,NA,NA
"OG0000168",0,NA,NA,NA,NA
"OG0000169",0,NA,NA,NA,NA
"OG0000171",0,NA,NA,NA,NA
"OG0000172",0,NA,NA,NA,NA
"OG0000173",0,NA,NA,NA,NA
"OG0000174",0,NA,NA,NA,NA
"OG0000175",0,NA,NA,NA,NA
"OG0000177",0,NA,NA,NA,NA
"OG0000179",0.633963564614458,0.06711058847384,1.00873938675255,0.687543287842857,0.708633572746012
"OG0000182",0,NA,NA,NA,NA
"OG0000183",0.872127710990738,0.0806426860437586,1.00903776830229,NA,NA
"OG0000184",0.145354618498456,0.0200033093709509,1.01257934910285,0.345180777652988,0.436017824403775
"OG0000186",0,NA,NA,NA,NA
"OG0000187",0,NA,NA,NA,NA
"OG0000189",0,NA,NA,NA,NA
"OG0000190",0,NA,NA,NA,NA
"OG0000191",1.02786480223908,0.0881614113083024,1.00948153602882,NA,NA
"OG0000192",0,NA,NA,NA,NA
"OG0000193",0,NA,NA,NA,NA
"OG0000194",0,NA,NA,NA,NA
"OG0000195",0,NA,NA,NA,NA
"OG0000196",0,NA,NA,NA,NA
"OG0000197",0,NA,NA,NA,NA
"OG0000198",0,NA,NA,NA,NA
"OG0000200",0,NA,NA,NA,NA
"OG0000202",75.1483377637019,-0.221486295023156,1.05670391596344,0.000342990879047641,0.00134005738790706
"OG0000204",0,NA,NA,NA,NA
"OG0000206",0,NA,NA,NA,NA
"OG0000207",0,NA,NA,NA,NA
"OG0000209",1116.98303994359,-0.392950740788141,1.13887540493327,4.1261552934297e-08,4.95138635211564e-07
"OG0000211",0,NA,NA,NA,NA
"OG0000212",95.715095951239,-0.250629741309323,1.06696350926478,0.0034647661608351,0.00911836421031557
"OG0000213",0,NA,NA,NA,NA
"OG0000214",0,NA,NA,NA,NA
"OG0000215",0,NA,NA,NA,NA
"OG0000217",0,NA,NA,NA,NA
"OG0000219",0,NA,NA,NA,NA
"OG0000221",88.8211340453122,-0.277628456703053,1.07802766262145,0.00018818533215377,0.00120054092835919
"OG0000222",0,NA,NA,NA,NA
"OG0000224",0,NA,NA,NA,NA
"OG0000225",0,NA,NA,NA,NA
"OG0000226",0,NA,NA,NA,NA
"OG0000227",0,NA,NA,NA,NA
"OG0000228",0,NA,NA,NA,NA
"OG0000231",1.56125355464755,0.107692123281507,1.01150305818937,NA,NA
"OG0000234",0,NA,NA,NA,NA
"OG0000237",0,NA,NA,NA,NA
"OG0000239",0,NA,NA,NA,NA
"OG0000240",0,NA,NA,NA,NA
"OG0000241",0,NA,NA,NA,NA
"OG0000243",0,NA,NA,NA,NA
"OG0000245",0,NA,NA,NA,NA
"OG0000246",3.41583353471372,-0.220928593943362,1.05631425801398,0.0177257935111152,0.0316801415943335
"OG0000248",0,NA,NA,NA,NA
"OG0000251",0,NA,NA,NA,NA
"OG0000252",0,NA,NA,NA,NA
"OG0000253",0,NA,NA,NA,NA
"OG0000255",2.32500314465272,0.126940032053341,1.01478083034893,NA,NA
"OG0000256",0,NA,NA,NA,NA
"OG0000257",0,NA,NA,NA,NA
"OG0000258",0,NA,NA,NA,NA
"OG0000259",5.90357340380776,-0.0275791004093324,0.985931590746571,NA,NA
"OG0000261",0,NA,NA,NA,NA
"OG0000263",0,NA,NA,NA,NA
