R179	Replicate	Experiment	Colonies
WT	1	I	43.23529412
WT	2	I	88.31521739
WT	3	I	82.19178082
WT	4	I	134.8484848
WT	5	I	54.56852792
WT	6	I	209.1194969
WT	7	I	28.54330709
WT	8	I	309.714795
dTypA	1	I	16.34920635
dTypA	2	I	32.69230769
dTypA	3	I	8.43537415
dTypA	4	I	0.774647887
dTypA	5	I	0.170940171
dTypA	6	I	21.32911392
dTypA	7	I	5.858585859
dTypA	8	I	11.70212766
cExbD	1	I	36.17886179
cExbD	2	I	73.26621924
cExbD	3	I	124.4725738
cExbD	4	I	13.1122449
cExbD	5	I	99.4047619
cExbD	6	I	170.6896552
cExbD	7	I	25.76832151
cExbD	8	I	55.83333333
cTypA	1	I	103.6036036
cTypA	2	I	97.04301075
cTypA	3	I	48.4375
cTypA	4	I	26.52380952
cTypA	5	I	14.35185185
cTypA	6	I	15.42168675
cTypA	7	I	20.65527066
cTypA	8	I	122.4226804
dExbD	1	I	2.173913043
dExbD	2	I	13.16666667
dExbD	3	I	1.283783784
dExbD	4	I	6.376811594
dExbD	5	I	7.260726073
dExbD	6	I	34.04761905
dExbD	7	I	20.45112782
dExbD	8	I	25.57142857
eVTypA	1	I	7.013888889
eVTypA	2	I	4.505494505
eVTypA	3	I	22.28070175
eVTypA	4	I	12.14285714
eVTypA	5	I	6.136363636
eVTypA	6	I	3.596491228
eVTypA	7	I	4.142857143
eVTypA	8	I	3.421052632
eVExbD	1	I	19.27710843
eVExbD	2	I	154.2207792
eVExbD	3	I	74.46808511
eVExbD	4	I	30.15151515
eVExbD	5	I	12.63565891
eVExbD	6	I	56.91287879
eVExbD	7	I	10
eVExbD	8	I	36.08815427
cExbD2	1	I	4.861111111
cExbD2	2	I	28.71287129
cExbD2	3	I	24.89361702
cExbD2	4	I	45.83333333
cExbD2	5	I	27.49140893
cExbD2	6	I	78.78151261
cExbD2	7	I	91.75084175
cExbD2	8	I	91.66666667
WT	1	II	36.07142857
WT	2	II	13.14935065
WT	3	II	5.648148148
WT	4	II	30.70175439
WT	5	II	54.82954545
WT	6	II	20.93023256
WT	7	II	9.404761905
WT	8	II	6.544715447
dTypA	1	II	21.02739726
dTypA	2	II	20.3539823
dTypA	3	II	13.77358491
dTypA	4	II	21.96428571
dTypA	5	II	8.968253968
dTypA	6	II	12.79761905
dTypA	7	II	28.15384615
dTypA	8	II	72.35142119
cExbD	1	II	0.943396226
cExbD	2	II	47.19471947
cExbD	3	II	20.16949153
cExbD	4	II	11.60337553
cExbD	5	II	4.04494382
cExbD	6	II	115.6798246
cExbD	7	II	1.489361702
cExbD	8	II	5.603448276
cTypA	1	II	20.58219178
cTypA	2	II	23.80952381
cTypA	3	II	23.52941176
cTypA	4	II	46.48148148
cTypA	5	II	26.26666667
cTypA	6	II	48.61111111
cTypA	7	II	14.27083333
cTypA	8	II	86.53846154
dExbD	1	II	0
dExbD	2	II	20.78947368
dExbD	3	II	4.714285714
dExbD	4	II	19.26605505
dExbD	5	II	46.45833333
