ID,roots_weight,cfu/mg,experiment,genotype
81,0.0041,56.09756098,1,EcpD
82,0.0037,213.5135135,1,EcpD
83,0.003,180,1,EcpD
84,0.001,250,1,EcpD
85,0.0048,177.0833333,1,EcpD
86,0.0021,57.14285714,1,EcpD
87,0.003,80,1,EcpD
88,0.0038,0,1,EcpD
89,0.0032,59.375,1,EcpD
90,0.0056,178.5714286,1,EcpD
91,0.0046,319.5652174,1,EcpD
92,0.004,325,1,EcpD
93,0.0018,0,1,Negative
94,0.0045,0,1,Negative
95,0.0027,0,1,Negative
97,0.0041,0,1,Negative
98,0.0025,0,1,Negative
99,0.0019,0,1,Negative
100,0.0047,0,1,Negative
101,0.003,0,1,Negative
102,0.0039,0,1,Negative
103,0.003,0,1,Negative
104,0.001,0,1,Negative
105,0.0029,175.862069,1,FimC
106,0.002,150,1,FimC
107,0.0037,443.2432432,1,FimC
108,0.0031,235.483871,1,FimC
109,0.0017,44.11764706,1,FimC
110,0.0017,42.94117647,1,FimC
111,0.0034,70.58823529,1,FimC
112,0.0017,19.41176471,1,FimC
113,0.0049,234.6938776,1,FimC
114,0.0042,166.6666667,1,FimC
115,0.0047,68.08510638,1,FimC
116,0.0022,40.45454545,1,FimC
117,0.0023,3.913043478,1,IMPH2
118,0.0054,,1,IMPH2
119,0.004,132.5,1,IMPH2
121,0.0002,5,1,IMPH2
124,0.0036,166.6666667,1,IMPH2
125,0.0032,118.75,1,IMPH2
126,0.0062,261.2903226,1,IMPH2
127,0.0041,53.65853659,1,IMPH2
128,0.0039,NA,1,IMPH2
129,0.0049,40.81632653,1,WT
130,0.0038,342.1052632,1,WT
131,0.0028,246.4285714,1,WT
132,0.0043,83.72093023,1,WT
133,0.0038,36.31578947,1,WT
134,0.0032,118.75,1,WT
135,0.0028,36.42857143,1,WT
136,0.0027,37.40740741,1,WT
137,0.0042,121.4285714,1,WT
138,0.0034,152.9411765,1,WT
139,0.0021,395.2380952,1,WT
140,0.002,130,1,WT
141,0.002,1.5,1,TypA
142,0.0035,34.28571429,1,TypA
143,0.0031,14.51612903,1,TypA
144,0.0024,26.25,1,TypA
145,0.0033,17.27272727,1,TypA
146,0.004,20.75,1,TypA
147,0.0022,9.545454545,1,TypA
148,0.0024,1.666666667,1,TypA
149,0.0024,4.583333333,1,TypA
150,0.0018,7.777777778,1,TypA
151,0.0017,9.411764706,1,TypA
152,0.0027,9.259259259,1,TypA
153,0.0013,56.92307692,1,ExbD1
154,0.0019,44.21052632,1,ExbD1
155,0.002,0,1,ExbD1
