"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Root1433D1|1106",4.13730996466875,0.21701884609651,1.05182177353362,0.19417076162556,NA
"Root1433D1|1241",0,NA,NA,NA,NA
"Root1433D1|1366",0,NA,NA,NA,NA
"Root1433D1|1438",0,NA,NA,NA,NA
"Root1433D1|1514",0,NA,NA,NA,NA
"Root1433D1|1844",0,NA,NA,NA,NA
"Root1433D1|2070",0,NA,NA,NA,NA
"Root1433D1|2162",2.07462622096643,-0.175447295506939,1.03548599204646,0.433501767703575,NA
"Root1433D1|2321",0,NA,NA,NA,NA
"Root1433D1|2371",0,NA,NA,NA,NA
"Root1433D1|2429",0,NA,NA,NA,NA
"Root1433D1|2627",22.2068340080839,-0.0805585042379181,0.97896075024403,0.76292275826338,0.81572350093655
"Root1433D1|2638",33.4697767654613,0.232941311229916,1.05922717437175,NA,NA
"Root1433D1|2668",0.795636531667067,0.206274635141359,1.04599123738562,0.203631840755755,NA
"Root1433D1|2696",0,NA,NA,NA,NA
"Root1433D1|2765",0,NA,NA,NA,NA
"Root1433D1|2833",0,NA,NA,NA,NA
"Root1433D1|2891",790.440890940269,0.244515398077104,1.06356398270308,NA,NA
"Root1433D1|2946",0,NA,NA,NA,NA
"Root1433D1|2971",0.90172140255601,0.20813806338354,1.04698076572555,0.193075006274723,NA
"Root1433D1|3035",0,NA,NA,NA,NA
"Root1433D1|3058",7.9296824445828,-0.200525738560387,1.04456448307076,NA,NA
"Root1433D1|3079",4786.86762912174,0.250749968959901,1.06591238648964,NA,NA
"Root1433D1|317",0,NA,NA,NA,NA
"Root1433D1|3197",2.62785987989081,-0.181026597606611,1.03707144154322,0.382759287215826,NA
"Root1433D1|3318",0,NA,NA,NA,NA
"Root1433D1|3344",0,NA,NA,NA,NA
"Root1433D1|3348",0,NA,NA,NA,NA
"Root1433D1|3350",3.59601878300848,-0.186645860296738,1.03893564471811,0.321427289107295,NA
"Root1433D1|3360",0,NA,NA,NA,NA
"Root1433D1|3365",0,NA,NA,NA,NA
"Root1433D1|370",9.01688291858842,0.226874093621853,1.05671453256064,NA,NA
"Root1433D1|381",9.10447041772407,0.168775809059854,1.02346714365377,0.401092065360468,0.538609344912629
"Root1433D1|455",0,NA,NA,NA,NA
"Root1433D1|498",0,NA,NA,NA,NA
"Root1433D1|519",0,NA,NA,NA,NA
"Root1433D1|529",4.13730996466875,0.21701884609651,1.05182177353362,0.19417076162556,NA
"Root1433D1|673",0,NA,NA,NA,NA
"Root1433D1|710",1.47528975713168,-0.168606221405411,1.03373159512082,0.511053458838927,NA
"Root1433D1|893",0,NA,NA,NA,NA
"Root1433D1|901",0,NA,NA,NA,NA
"Root1433D1|965",0,NA,NA,NA,NA
"Root1433D1|1068",4.44100750584323,-0.179367221474528,1.03378137944322,0.409064264695715,NA
"Root1433D1|1114",0,NA,NA,NA,NA
"Root1433D1|1190",0,NA,NA,NA,NA
"Root1433D1|1192",0,NA,NA,NA,NA
"Root1433D1|1196",0,NA,NA,NA,NA
"Root1433D1|1212",0,NA,NA,NA,NA
