"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Root172|1011",0,NA,NA,NA,NA
"Root172|1062",0,NA,NA,NA,NA
"Root172|1069",0,NA,NA,NA,NA
"Root172|1089",0,NA,NA,NA,NA
"Root172|1101",0.0918710758806136,-0.0605077730276956,1.01351453148096,0.488812335975618,NA
"Root172|1240",0,NA,NA,NA,NA
"Root172|1271",1.63651322541532,-0.15510891817637,1.02535144061541,0.721644349199891,NA
"Root172|137",2.57239012465718,-0.170088844851436,1.03016632681019,0.599352211857652,NA
"Root172|1375",0,NA,NA,NA,NA
"Root172|1380",1.15518580617552,-0.142781770699081,1.02218537778266,0.821020540002134,NA
"Root172|1454",0,NA,NA,NA,NA
"Root172|1603",4.74192762879891,0.248439597728731,1.06434141090935,0.0461442891068456,NA
"Root172|1678",1.40960660929675,-0.149914118998261,1.023932772042,0.763804977156591,NA
"Root172|1784",0,NA,NA,NA,NA
"Root172|1785",0,NA,NA,NA,NA
"Root172|1848",0.0491909798856212,-0.0443590593042075,1.01351495653057,0.370505588216179,NA
"Root172|194",0,NA,NA,NA,NA
"Root172|2251",0,NA,NA,NA,NA
"Root172|2252",0,NA,NA,NA,NA
"Root172|2351",0,NA,NA,NA,NA
"Root172|2523",5.88602448515557,-0.285041829748623,1.06354260091435,0.298730748547455,NA
"Root172|2725",0,NA,NA,NA,NA
"Root172|2740",0,NA,NA,NA,NA
"Root172|2749",0,NA,NA,NA,NA
"Root172|2756",0,NA,NA,NA,NA
"Root172|2757",0,NA,NA,NA,NA
"Root172|2777",0,NA,NA,NA,NA
"Root172|2810",0.491909798856212,-0.112051086636283,1.01692637645891,0.926982295138748,NA
"Root172|2845",0,NA,NA,NA,NA
"Root172|2873",0,NA,NA,NA,NA
"Root172|3126",0,NA,NA,NA,NA
"Root172|3160",0,NA,NA,NA,NA
"Root172|3264",0,NA,NA,NA,NA
"Root172|3307",1.32815645691177,-0.147737667494566,1.02337853802504,0.780845263133189,NA
"Root172|3357",0,NA,NA,NA,NA
"Root172|3394",0,NA,NA,NA,NA
"Root172|3512",2.25084135907503,-0.165900773118531,1.02869988739781,0.63446873945969,NA
"Root172|3520",0,NA,NA,NA,NA
"Root172|3546",0,NA,NA,NA,NA
"Root172|3561",0,NA,NA,NA,NA
"Root172|3655",0,NA,NA,NA,NA
"Root172|3678",0,NA,NA,NA,NA
"Root172|3704",0,NA,NA,NA,NA
"Root172|3710",0,NA,NA,NA,NA
"Root172|3750",0,NA,NA,NA,NA
"Root172|3751",0,NA,NA,NA,NA
"Root172|3760",0,NA,NA,NA,NA
"Root172|3775",1.18058351725491,-0.14352732399514,1.0223591682888,0.814792441912686,NA
"Root172|3831",0,NA,NA,NA,NA
"Root172|3850",0,NA,NA,NA,NA
"Root172|3964",1.10705306425154,-0.141220937705377,1.02183259559083,0.833390999898247,NA
"Root172|3976",0,NA,NA,NA,NA
"Root172|4011",0,NA,NA,NA,NA
"Root172|403",13.7578278628975,0.202702539573856,1.01154915139198,0.477943363743012,0.799394276050186
"Root172|4220",0,NA,NA,NA,NA
"Root172|4225",0,NA,NA,NA,NA
"Root172|4262",0,NA,NA,NA,NA
"Root172|434",0,NA,NA,NA,NA
"Root172|4373",0,NA,NA,NA,NA
"Root172|4394",0,NA,NA,NA,NA
"Root172|4408",0,NA,NA,NA,NA
"Root172|4421",0,NA,NA,NA,NA
"Root172|4495",0,NA,NA,NA,NA
"Root172|4512",0,NA,NA,NA,NA
"Root172|4513",0,NA,NA,NA,NA
"Root172|47",0,NA,NA,NA,NA
"Root172|4916",2.20490582113473,-0.16523271168408,1.02847530531491,0.639967585484228,NA
"Root172|4926",0,NA,NA,NA,NA
"Root172|5075",0,NA,NA,NA,NA
"Root172|5102",0,NA,NA,NA,NA
"Root172|5150",0,NA,NA,NA,NA
"Root172|5255",0,NA,NA,NA,NA
"Root172|5300",0,NA,NA,NA,NA
"Root172|5385",0,NA,NA,NA,NA
"Root172|5430",0,NA,NA,NA,NA
"Root172|5672",0,NA,NA,NA,NA
"Root172|5696",0,NA,NA,NA,NA
"Root172|5701",0,NA,NA,NA,NA
"Root172|5739",0,NA,NA,NA,NA
"Root172|5779",0,NA,NA,NA,NA
"Root172|5847",0,NA,NA,NA,NA
"Root172|5929",0,NA,NA,NA,NA
"Root172|5978",0,NA,NA,NA,NA
"Root172|6204",0,NA,NA,NA,NA
"Root172|6228",0,NA,NA,NA,NA
"Root172|6244",0,NA,NA,NA,NA
"Root172|6255",0,NA,NA,NA,NA
"Root172|630",0.790321271466485,0.212809129037299,1.04995539854856,0.145600343074929,NA
"Root172|6450",0,NA,NA,NA,NA
"Root172|6451",9.50044478727462,-0.060772429245119,0.96315643380943,0.834086292276709,NA
"Root172|855",0,NA,NA,NA,NA
"Root172|885",4.95874039947637,0.0958654745969878,0.99432569801682,0.70522484376973,NA
"Root172|937",0,NA,NA,NA,NA
"Root172|938",0.770123870783678,-0.12807952963677,1.01924377926714,0.940133885314486,NA
"Root172|952",0,NA,NA,NA,NA
"Root172|971",0,NA,NA,NA,NA
"Root172|1008",0,NA,NA,NA,NA
"Root172|1108",5.92740953599864,0.254153561251827,1.06662726290307,0.0359689311647276,NA
"Root172|1132",0,NA,NA,NA,NA
"Root172|1136",0,NA,NA,NA,NA
"Root172|1139",0,NA,NA,NA,NA
"Root172|132",0,NA,NA,NA,NA
"Root172|1322",0,NA,NA,NA,NA
"Root172|1326",0,NA,NA,NA,NA
"Root172|1379",0,NA,NA,NA,NA
"Root172|1463",0,NA,NA,NA,NA
"Root172|1469",3.17781170619644,0.0649453547959636,0.992218487326809,0.833174621029322,NA
"Root172|1501",726.804180567948,0.301743601901577,1.08747279690668,NA,NA
"Root172|1687",0,NA,NA,NA,NA
"Root172|1719",2.50268402631054,0.221600462994705,1.05450986928163,0.0912838344298859,NA
"Root172|1737",0,NA,NA,NA,NA
